Date:20150209, table:MarketData_10000001_SH, MaxRecordDate:0, Wind:5146
Date:20150216, table:MarketData_10000007_SH, MaxRecordDate:20150213, Wind:9064
Date:20150217, table:MarketData_10000007_SH, MaxRecordDate:20150216, Wind:10786
Date:20150225, table:MarketData_10000007_SH, MaxRecordDate:20150217, Wind:8051
Date:20150226, table:MarketData_10000007_SH, MaxRecordDate:20150225, Wind:8813
Date:20150227, table:MarketData_10000007_SH, MaxRecordDate:20150226, Wind:12665
Date:20150302, table:MarketData_10000007_SH, MaxRecordDate:20150227, Wind:11032
Date:20150303, table:MarketData_10000007_SH, MaxRecordDate:20150302, Wind:7172
Date:20150304, table:MarketData_10000007_SH, MaxRecordDate:20150303, Wind:6689
Date:20150305, table:MarketData_10000007_SH, MaxRecordDate:20150304, Wind:7306
Date:20150306, table:MarketData_10000007_SH, MaxRecordDate:20150305, Wind:7445
Date:20150309, table:MarketData_10000007_SH, MaxRecordDate:20150306, Wind:7701
Date:20150310, table:MarketData_10000007_SH, MaxRecordDate:20150309, Wind:6366
Date:20150311, table:MarketData_10000007_SH, MaxRecordDate:20150310, Wind:5804
Date:20150312, table:MarketData_10000007_SH, MaxRecordDate:20150311, Wind:5623
Date:20150313, table:MarketData_10000007_SH, MaxRecordDate:20150312, Wind:7740
Date:20150316, table:MarketData_10000007_SH, MaxRecordDate:20150313, Wind:3465
Date:20150317, table:MarketData_10000007_SH, MaxRecordDate:20150316, Wind:2420
Date:20150318, table:MarketData_10000007_SH, MaxRecordDate:20150317, Wind:1172
Date:20150319, table:MarketData_10000007_SH, MaxRecordDate:20150318, Wind:477
Date:20150320, table:MarketData_10000007_SH, MaxRecordDate:20150319, Wind:2623
Date:20150323, table:MarketData_10000007_SH, MaxRecordDate:20150320, Wind:2586
Date:20150324, table:MarketData_10000007_SH, MaxRecordDate:20150323, Wind:3229
Date:20150325, table:MarketData_10000007_SH, MaxRecordDate:20150324, Wind:2598
Date:20150209, table:MarketData_10000008_SH, MaxRecordDate:0, Wind:3289
Date:20150210, table:MarketData_10000008_SH, MaxRecordDate:20150209, Wind:7588
Date:20150211, table:MarketData_10000008_SH, MaxRecordDate:20150210, Wind:6238
Date:20150212, table:MarketData_10000008_SH, MaxRecordDate:20150211, Wind:6623
Date:20150213, table:MarketData_10000008_SH, MaxRecordDate:20150212, Wind:6574
Date:20150216, table:MarketData_10000008_SH, MaxRecordDate:20150213, Wind:5467
Date:20150217, table:MarketData_10000008_SH, MaxRecordDate:20150216, Wind:6000
Date:20150225, table:MarketData_10000008_SH, MaxRecordDate:20150217, Wind:5931
Date:20150226, table:MarketData_10000008_SH, MaxRecordDate:20150225, Wind:6952
Date:20150227, table:MarketData_10000008_SH, MaxRecordDate:20150226, Wind:9393
Date:20150302, table:MarketData_10000008_SH, MaxRecordDate:20150227, Wind:9030
Date:20150303, table:MarketData_10000008_SH, MaxRecordDate:20150302, Wind:6005
Date:20150304, table:MarketData_10000008_SH, MaxRecordDate:20150303, Wind:5719
Date:20150305, table:MarketData_10000008_SH, MaxRecordDate:20150304, Wind:7623
Date:20150306, table:MarketData_10000008_SH, MaxRecordDate:20150305, Wind:6212
Date:20150309, table:MarketData_10000008_SH, MaxRecordDate:20150306, Wind:8143
Date:20150310, table:MarketData_10000008_SH, MaxRecordDate:20150309, Wind:8519
Date:20150311, table:MarketData_10000008_SH, MaxRecordDate:20150310, Wind:11603
Date:20150312, table:MarketData_10000008_SH, MaxRecordDate:20150311, Wind:7058
Date:20150313, table:MarketData_10000008_SH, MaxRecordDate:20150312, Wind:6102
Date:20150316, table:MarketData_10000008_SH, MaxRecordDate:20150313, Wind:3354
Date:20150317, table:MarketData_10000008_SH, MaxRecordDate:20150316, Wind:2675
Date:20150318, table:MarketData_10000008_SH, MaxRecordDate:20150317, Wind:1202
Date:20150319, table:MarketData_10000008_SH, MaxRecordDate:20150318, Wind:472
Date:20150320, table:MarketData_10000008_SH, MaxRecordDate:20150319, Wind:1907
Date:20150323, table:MarketData_10000008_SH, MaxRecordDate:20150320, Wind:2791
Date:20150324, table:MarketData_10000008_SH, MaxRecordDate:20150323, Wind:2643
Date:20150325, table:MarketData_10000008_SH, MaxRecordDate:20150324, Wind:2590
Date:20150209, table:MarketData_10000009_SH, MaxRecordDate:0, Wind:2989
Date:20150210, table:MarketData_10000009_SH, MaxRecordDate:20150209, Wind:7470
Date:20150211, table:MarketData_10000009_SH, MaxRecordDate:20150210, Wind:5682
Date:20150212, table:MarketData_10000009_SH, MaxRecordDate:20150211, Wind:5895
Date:20150213, table:MarketData_10000009_SH, MaxRecordDate:20150212, Wind:6135
Date:20150216, table:MarketData_10000009_SH, MaxRecordDate:20150213, Wind:5442
Date:20150217, table:MarketData_10000009_SH, MaxRecordDate:20150216, Wind:3757
Date:20150225, table:MarketData_10000009_SH, MaxRecordDate:20150217, Wind:4780
Date:20150226, table:MarketData_10000009_SH, MaxRecordDate:20150225, Wind:6764
Date:20150227, table:MarketData_10000009_SH, MaxRecordDate:20150226, Wind:6644
Date:20150302, table:MarketData_10000009_SH, MaxRecordDate:20150227, Wind:7763
Date:20150303, table:MarketData_10000009_SH, MaxRecordDate:20150302, Wind:5783
Date:20150304, table:MarketData_10000009_SH, MaxRecordDate:20150303, Wind:5723
Date:20150305, table:MarketData_10000009_SH, MaxRecordDate:20150304, Wind:8356
Date:20150306, table:MarketData_10000009_SH, MaxRecordDate:20150305, Wind:6749
Date:20150309, table:MarketData_10000009_SH, MaxRecordDate:20150306, Wind:7928
Date:20150310, table:MarketData_10000009_SH, MaxRecordDate:20150309, Wind:7421
Date:20150311, table:MarketData_10000009_SH, MaxRecordDate:20150310, Wind:11577
Date:20150312, table:MarketData_10000009_SH, MaxRecordDate:20150311, Wind:10911
Date:20150313, table:MarketData_10000009_SH, MaxRecordDate:20150312, Wind:7301
Date:20150316, table:MarketData_10000009_SH, MaxRecordDate:20150313, Wind:3167
Date:20150317, table:MarketData_10000009_SH, MaxRecordDate:20150316, Wind:1455
Date:20150318, table:MarketData_10000009_SH, MaxRecordDate:20150317, Wind:2184
Date:20150319, table:MarketData_10000009_SH, MaxRecordDate:20150318, Wind:616
Date:20150320, table:MarketData_10000009_SH, MaxRecordDate:20150319, Wind:2623
Date:20150323, table:MarketData_10000009_SH, MaxRecordDate:20150320, Wind:643
Date:20150324, table:MarketData_10000009_SH, MaxRecordDate:20150323, Wind:3263
Date:20150325, table:MarketData_10000009_SH, MaxRecordDate:20150324, Wind:2677
Date:20150209, table:MarketData_10000010_SH, MaxRecordDate:0, Wind:3644
Date:20150210, table:MarketData_10000010_SH, MaxRecordDate:20150209, Wind:8122
Date:20150211, table:MarketData_10000010_SH, MaxRecordDate:20150210, Wind:5714
Date:20150212, table:MarketData_10000010_SH, MaxRecordDate:20150211, Wind:5731
Date:20150213, table:MarketData_10000010_SH, MaxRecordDate:20150212, Wind:6068
Date:20150216, table:MarketData_10000010_SH, MaxRecordDate:20150213, Wind:4648
Date:20150217, table:MarketData_10000010_SH, MaxRecordDate:20150216, Wind:2999
Date:20150225, table:MarketData_10000010_SH, MaxRecordDate:20150217, Wind:4257
Date:20150226, table:MarketData_10000010_SH, MaxRecordDate:20150225, Wind:5805
Date:20150227, table:MarketData_10000010_SH, MaxRecordDate:20150226, Wind:5375
Date:20150302, table:MarketData_10000010_SH, MaxRecordDate:20150227, Wind:7099
Date:20150303, table:MarketData_10000010_SH, MaxRecordDate:20150302, Wind:5765
Date:20150304, table:MarketData_10000010_SH, MaxRecordDate:20150303, Wind:5322
Date:20150305, table:MarketData_10000010_SH, MaxRecordDate:20150304, Wind:7261
Date:20150306, table:MarketData_10000010_SH, MaxRecordDate:20150305, Wind:6680
Date:20150309, table:MarketData_10000010_SH, MaxRecordDate:20150306, Wind:8307
Date:20150310, table:MarketData_10000010_SH, MaxRecordDate:20150309, Wind:7122
Date:20150311, table:MarketData_10000010_SH, MaxRecordDate:20150310, Wind:10818
Date:20150312, table:MarketData_10000010_SH, MaxRecordDate:20150311, Wind:11270
Date:20150313, table:MarketData_10000010_SH, MaxRecordDate:20150312, Wind:11108
Date:20150316, table:MarketData_10000010_SH, MaxRecordDate:20150313, Wind:3782
Date:20150317, table:MarketData_10000010_SH, MaxRecordDate:20150316, Wind:2665
Date:20150318, table:MarketData_10000010_SH, MaxRecordDate:20150317, Wind:2879
Date:20150319, table:MarketData_10000010_SH, MaxRecordDate:20150318, Wind:1912
Date:20150320, table:MarketData_10000010_SH, MaxRecordDate:20150319, Wind:2332
Date:20150323, table:MarketData_10000010_SH, MaxRecordDate:20150320, Wind:2464
Date:20150324, table:MarketData_10000010_SH, MaxRecordDate:20150323, Wind:3006
Date:20150325, table:MarketData_10000010_SH, MaxRecordDate:20150324, Wind:2485
Date:20150209, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150210, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150211, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150212, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150213, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150216, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150217, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150225, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150226, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150227, table:MarketData_10000011_SH, MaxRecordDate:20150227
Date:20150302, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150303, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150304, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150305, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150306, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150309, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150310, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150311, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150312, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150313, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150316, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150317, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150318, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150319, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150320, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150323, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150324, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150325, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150326, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150327, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150330, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150331, table:MarketData_10000011_SH, MaxRecordDate:20150331
Date:20150401, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150402, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150403, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150407, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150408, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150409, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150410, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150413, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150414, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150415, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150416, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150417, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150420, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150421, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150422, table:MarketData_10000011_SH, MaxRecordDate:20150422
Date:20150209, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150210, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150211, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150212, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150213, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150216, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150217, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150225, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150226, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150227, table:MarketData_10000012_SH, MaxRecordDate:20150227
Date:20150302, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150303, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150304, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150305, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150306, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150309, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150310, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150311, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150312, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150313, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150316, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150317, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150318, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150319, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150320, table:MarketData_10000012_SH, MaxRecordDate:20150331
Date:20150323, table:MarketData_10000012_SH, MaxRecordDate:20150331
